record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder
3282.422017362,142,1.629632,1.792547,1.555131,0.004559,0.229331,3.378527,run_tableB_20250811_132829/frames/trial_0142_20250811_133100
3283.160889616,143,0.311796,1.596318,1.342231,0.004659,0.245731,3.27927,run_tableB_20250811_132829/frames/trial_0143_20250811_133101
3283.917792713,144,1.71417,1.796585,1.634801,0.003647,0.155141,3.287996,run_tableB_20250811_132829/frames/trial_0144_20250811_133101
3284.81519463,145,0.448803,1.802977,1.538219,0.004348,0.257444,3.243473,run_tableB_20250811_132829/frames/trial_0145_20250811_133102
3285.647682587,146,0.560803,1.688823,1.407865,0.007494,0.268975,3.621634,run_tableB_20250811_132829/frames/trial_0146_20250811_133103
3286.557542311,147,1.747002,1.671881,1.49068,0.003697,0.173486,4.197976,run_tableB_20250811_132829/frames/trial_0147_20250811_133104
3287.406380976,148,0.460034,1.649868,1.427952,0.003717,0.215174,3.362777,run_tableB_20250811_132829/frames/trial_0148_20250811_133105
3288.305613352,149,1.141294,1.657795,1.471604,0.003096,0.178966,3.378767,run_tableB_20250811_132829/frames/trial_0149_20250811_133106
3289.378055366,150,1.897745,1.257873,1.020627,0.00507,0.228369,4.593429,run_tableB_20250811_132829/frames/trial_0150_20250811_133107
3290.34760571,151,1.621085,1.83634,1.626155,0.004087,0.202441,3.371554,run_tableB_20250811_132829/frames/trial_0151_20250811_133108
3291.432450771,152,0.855286,1.68724,1.515127,0.0057,0.160692,3.351767,run_tableB_20250811_132829/frames/trial_0152_20250811_133109
3292.483153376,153,0.144381,1.810451,1.668845,0.004198,0.133361,3.529178,run_tableB_20250811_132829/frames/trial_0153_20250811_133110
3293.595251179,154,1.658235,1.93212,1.642396,0.004208,0.280807,3.454439,run_tableB_20250811_132829/frames/trial_0154_20250811_133111
3294.648509202,155,0.288482,1.700805,1.540103,0.003336,0.15436,3.222844,run_tableB_20250811_132829/frames/trial_0155_20250811_133112
3295.697756224,156,1.555903,1.722726,1.55446,0.004318,0.160482,3.578563,run_tableB_20250811_132829/frames/trial_0156_20250811_133113
3296.762708133,157,1.706115,1.581241,1.424316,0.00519,0.147918,3.860702,run_tableB_20250811_132829/frames/trial_0157_20250811_133114
3297.8230859,158,1.078326,1.913304,1.679495,0.003497,0.226986,3.936184,run_tableB_20250811_132829/frames/trial_0158_20250811_133115
3298.854185972,159,1.882967,1.790263,1.606047,0.004128,0.176972,3.987671,run_tableB_20250811_132829/frames/trial_0159_20250811_133116
3299.875129625,160,0.395122,1.97979,1.672181,0.008096,0.29293,3.520544,run_tableB_20250811_132829/frames/trial_0160_20250811_133117
3300.895719119,161,1.198271,1.589395,1.292308,0.005079,0.288793,4.503661,run_tableB_20250811_132829/frames/trial_0161_20250811_133118
3301.879611847,162,1.361568,1.401292,1.199343,0.006111,0.192402,3.767196,run_tableB_20250811_132829/frames/trial_0162_20250811_133119
3302.875443967,163,1.4586,1.663034,1.512882,0.004618,0.142438,3.656439,run_tableB_20250811_132829/frames/trial_0163_20250811_133120
